item_id,product_name,department_name,price,stock_quantity
413,Avery Binder Labels,Binders and Binder Accessories,3.89,47
414,Hon Every-Day¨ Chair Series Swivel Task Chairs,Chairs & Chairmats,120.98,49
415,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Paper,30.98,18
440,Global Troyª Executive Leather Low-Back Tilter,Chairs & Chairmats,500.98,30
471,XtraLife¨ ClearVueª Slant-D¨ Ring Binders by Cardinal,Binders and Binder Accessories,7.84,5
513,Computer Printout Paper with Letter-Trim Perforations,Paper,18.97,21
577,6160,Telephones and Communication,115.99,8
606,Avery 49,Labels,2.88,5
656,Hoover Portapowerª Portable Vacuum,Appliances,4.48,9
669,Timeport L7089,Telephones and Communication,125.99,11
670,Avery 510,Labels,3.75,50
671,Xerox 1881,Paper,12.28,3
672,LX 788,Telephones and Communication,155.99,30
734,"Cardinal Slant-D¨ Ring Binder, Heavy Gauge Vinyl",Binders and Binder Accessories,8.69,7
735,"Memorex 4.7GB DVD-RAM, 3/Pack",Computer Peripherals,31.78,42
755,Unpadded Memo Slips,Paper,3.98,11
769,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Paper,5.88,22
782,"Eldon Expressionsª Desk Accessory, Wood Pencil Holder, Oak",Office Furnishings,9.65,12
786,Bell Sonecor JB700 Caller ID,Telephones and Communication,7.99,8
817,Avery Arch Ring Binders,Binders and Binder Accessories,58.1,7
818,APC 7 Outlet Network SurgeArrest Surge Protector,Appliances,80.48,3
821,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Office Furnishings,92.23,44
822,Accessory4,Telephones and Communication,85.99,25
839,Personal Creationsª Ink Jet Cards and Labels,Paper,11.48,19
853,High Speed Automatic Electric Letter Opener,"Scissors, Rulers and Trimmers",1637.53,6
863,Xerox 1966,Paper,6.48,40
864,Xerox 213,Paper,6.48,18
911,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Pens & Art Supplies,28.15,11
950,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Paper,4.98,41
951,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Paper,6.35,47
956,Crate-A-Filesª,Storage & Organization,10.9,40
963,"Angle-D Binders with Locking Rings, Label Holders",Binders and Binder Accessories,7.3,18
964,"80 Minute CD-R Spindle, 100/Pack - Staples",Computer Peripherals,39.48,32
965,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Bookcases,100.98,5
966,12-1/2 Diameter Round Wall Clock,Office Furnishings,19.98,41
988,SAFCO Arco Folding Chair,Chairs & Chairmats,276.2,22
1017,"#10 White Business Envelopes,4 1/8 x 9 1/2",Envelopes,15.67,50
1073,3M Office Air Cleaner,Appliances,25.98,37
1154,"Global Leather and Oak Executive Chair, Black",Chairs & Chairmats,300.98,4
1156,Xerox 1936,Paper,19.98,19
1157,Xerox 214,Paper,6.48,24
1205,Carina Double Wide Media Storage Towers in Natural & Black,Storage & Organization,80.98,40
1226,Staples¨ General Use 3-Ring Binders,Binders and Binder Accessories,1.88,5
1227,Xerox 1904,Paper,6.48,41
1228,Luxo Professional Combination Clamp-On Lamps,Office Furnishings,102.3,35
1229,Xerox 217,Paper,6.48,42
1230,Revere Boxed Rubber Bands by Revere,Rubber Bands,1.89,46
1258,"Acco Smartsocketª Table Surge Protector, 6 Color-Coded Adapter Outlets",Appliances,62.05,47
1259,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Storage & Organization,279.48,7
1299,Hon 4070 Series Pagodaª Round Back Stacking Chairs,Chairs & Chairmats,320.98,36
1300,Xerox 1887,Paper,18.97,5
1301,Xerox 1891,Paper,48.91,32
1337,Avery 506,Labels,4.13,44
1370,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Bookcases,140.98,32
1371,"Lifetime Advantageª Folding Chairs, 4/Carton",Chairs & Chairmats,218.08,44
1372,Microsoft Natural Multimedia Keyboard,Computer Peripherals,50.98,34
1380,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Paper,10.14,1
1445,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,15.99,50
1457,Bevis Boat-Shaped Conference Table,Tables,262.11,29
1462,"Linden¨ 12"" Wall Clock With Oak Frame",Office Furnishings,33.98,25
1463,Newell 326,Pens & Art Supplies,1.76,46
1495,Prismacolor Color Pencil Set,Pens & Art Supplies,19.84,15
1496,Xerox Blank Computer Paper,Paper,19.98,20
1513,600 Series Flip,Telephones and Communication,95.99,14
1544,Fellowes Recycled Storage Drawers,Storage & Organization,111.03,48
1551,Satellite Sectional Post Binders,Binders and Binder Accessories,43.41,8
1589,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Office Furnishings,105.34,15
1590,Avery 487,Labels,3.69,30
1594,Bevis Round Conference Table Top & Single Column Base,Tables,146.34,6
1654,"GBC Twin Loopª Wire Binding Elements, 9/16"" Spine, Black",Binders and Binder Accessories,15.22,25
1655,Hanging Personal Folder File,Storage & Organization,15.7,4
1656,"Bevis Round Conference Table Top, X-Base",Tables,179.29,26
1675,5125,Telephones and Communication,200.99,46
1676,Electrix Halogen Magnifier Lamp,Office Furnishings,194.3,23
1710,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Office Machines,120.97,25
1718,Fellowes Black Plastic Comb Bindings,Binders and Binder Accessories,5.81,5
1727,Polycom ViewStationª Adapter H323 Videoconferencing Unit,Office Machines,1938.02,12
1745,Hon GuestStacker Chair,Chairs & Chairmats,226.67,24
1751,Eldon¨ Wave Desk Accessories,Office Furnishings,2.08,34
1770,Sharp AL-1530CS Digital Copier,Copiers and Fax,499.99,44
1771,"Tennsco Lockers, Gray",Storage & Organization,20.98,28
1781,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Labels,30.53,40
1782,Newell 323,Pens & Art Supplies,1.68,46
1806,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Chairs & Chairmats,270.98,19
1807,Spiral Phone Message Books with Labels by Adams,Paper,4.48,20
1842,Crate-A-Filesª,Storage & Organization,10.9,40
1843,Bell Sonecor JB700 Caller ID,Telephones and Communication,7.99,49
1848,Holmes 99% HEPA Air Purifier,Appliances,21.66,47
1855,Xerox 224,Paper,6.48,44
1913,Xerox 1906,Paper,35.44,6
1928,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,15.99,30
1929,Xerox 188,Paper,11.34,23
1930,Xerox 1932,Paper,35.44,37
1978,GBC Linen Binding Covers,Binders and Binder Accessories,30.98,1
1979,GBC Recycled Grain Textured Covers,Binders and Binder Accessories,34.54,42
2013,"Sauder Facets Collection Library, Sky Alder Finish",Bookcases,170.98,34
2058,"Fellowes Basic 104-Key Keyboard, Platinum",Computer Peripherals,20.95,15
2070,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Appliances,207.48,48
2071,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Bookcases,58.14,27
2114,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,6.64,42
2115,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,145.45,39
2116,Newell 327,Pens & Art Supplies,2.21,35
2117,Xerox 1893,Paper,40.99,50
2129,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,243.98,18
2130,Eldon Radial Chair Mat for Low to Medium Pile Carpets,Office Furnishings,39.98,42
2161,"DAX Copper Panel Document Frame, 5 x 7 Size",Office Furnishings,12.58,31
2206,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Bookcases,48.58,36
2207,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Office Furnishings,105.98,36
2208,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Paper,7.04,4
2209,"Memorex Slim 80 Minute CD-R, 10/Pack",Computer Peripherals,9.78,32
2210,Aluminum Document Frame,Office Furnishings,12.22,17
2221,"Memorex 80 Minute CD-R Spindle, 100/Pack",Computer Peripherals,43.98,3
2246,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Storage & Organization,34.76,8
2247,Accessory36,Telephones and Communication,55.99,29
2281,Xerox 20,Paper,6.48,19
2283,Surelockª Post Binders,Binders and Binder Accessories,30.56,9
2294,Colorific¨ Watercolor Pencils,Pens & Art Supplies,5.16,10
2295,"*Staples* vLetter Openers, 2/Pack","Scissors, Rulers and Trimmers",3.68,1
2296,Hon 4700 Series Mobuisª Mid-Back Task Chairs with Adjustable Arms,Chairs & Chairmats,355.98,30
2297,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Tables,218.75,8
2316,Eldon Econocleat¨ Chair Mats for Low Pile Carpets,Office Furnishings,41.47,47
2317,Prang Drawing Pencil Set,Pens & Art Supplies,2.78,6
2318,T39m,Telephones and Communication,155.99,49
2323,Xerox 1982,Paper,22.84,6
2346,Xerox 1924,Paper,5.78,25
2347,Turquoise Lead Holder with Pocket Clip,Pens & Art Supplies,6.7,20
2383,Okidata ML395C Color Dot Matrix Printer,Office Machines,1360.14,4
2384,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Chairs & Chairmats,270.98,7
2402,Microsoft Internet Keyboard,Computer Peripherals,20.97,31
2445,Xerox 1982,Paper,22.84,27
2483,Global Ergonomic Managers Chair,Chairs & Chairmats,180.98,7
2487,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Chairs & Chairmats,130.98,27
2489,Xerox 1971,Paper,4.28,48
2490,Eldon Portable Mobile Manager,Storage & Organization,28.28,8
2491,Accessory6,Telephones and Communication,55.99,41
2520,Durable Pressboard Binders,Binders and Binder Accessories,3.8,30
2521,Fellowes 17-key keypad for PS/2 interface,Computer Peripherals,30.73,15
2522,StarTAC ST7762,Telephones and Communication,125.99,49
2615,Accessory21,Telephones and Communication,20.99,9
2624,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Binders and Binder Accessories,1270.99,18
2637,Staples 6 Outlet Surge,Appliances,11.97,21
2643,Recycled Eldon Regeneration Jumbo File,Storage & Organization,12.28,30
2726,Verbatim DVD-R 4.7GB authoring disc,Computer Peripherals,39.24,31
2727,Canon P1-DHIII Palm Printing Calculator,Office Machines,17.98,2
2728,GBC Binding covers,Binders and Binder Accessories,12.95,11
2768,Newell 323,Pens & Art Supplies,1.68,49
2782,"Global Stack Chair without Arms, Black",Chairs & Chairmats,25.98,31
2796,"Speediset Carbonless Redi-Letter¨ 7"" x 8 1/2""",Paper,10.31,42
2811,GBC Recycled Regency Composition Covers,Binders and Binder Accessories,59.78,8
2812,Accessory29,Telephones and Communication,20.99,33
2935,Newell 323,Pens & Art Supplies,1.68,32
2936,SANFORD Major Accentª Highlighters,Pens & Art Supplies,7.08,47
2956,Polycom ViaVideoª Desktop Video Communications Unit,Office Machines,574.74,31
2999,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Pens & Art Supplies,36.55,17
3006,Accessory24,Telephones and Communication,55.99,35
3052,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Office Furnishings,51.75,21
3053,Recycled Steel Personal File for Standard File Folders,Storage & Organization,55.29,16
3089,"Eldon Expressionsª Desk Accessory, Wood Pencil Holder, Oak",Office Furnishings,9.65,49
3110,Accessory39,Telephones and Communication,20.99,13
3135,Bell Sonecor JB700 Caller ID,Telephones and Communication,7.99,44
3138,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Envelopes,7.64,2
3140,GBC Standard Plastic Binding Systems Combs,Binders and Binder Accessories,8.85,13
3244,Xerox 1930,Paper,6.48,16
3245,Avery 474,Labels,2.88,27
3284,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,880.98,30
3300,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Office Machines,200.97,14
3355,"IBM 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,20.89,26
3356,"Peel & Seel¨ Recycled Catalog Envelopes, Brown",Envelopes,11.58,28
3357,Avery 506,Labels,4.13,42
3359,Prang Drawing Pencil Set,Pens & Art Supplies,2.78,38
3371,TDK 4.7GB DVD+RW,Computer Peripherals,14.48,1
3372,U.S. Robotics 56K Internet Call Modem,Computer Peripherals,99.99,27
3373,Xerox 190,Paper,4.98,2
3380,Standard Lineª ÒWhile You Were OutÓ Hardbound Telephone Message Book,Paper,21.98,13
3381,CF 888,Telephones and Communication,195.99,43
3406,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Office Machines,200.97,24
3418,Dana Halogen Swing-Arm Architect Lamp,Office Furnishings,40.97,23
3419,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Tables,349.45,17
3434,Lexmark Z25 Color Inkjet Printer,Office Machines,80.97,41
3478,Hon Multipurpose Stacking Arm Chairs,Chairs & Chairmats,216.6,47
3479,Hon Olson Stacker Stools,Chairs & Chairmats,140.81,26
3493,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,22.72,6
3552,12-1/2 Diameter Round Wall Clock,Office Furnishings,19.98,22
3560,Epson DFX5000+ Dot Matrix Printer,Office Machines,1500.97,3
3591,"Fellowes Basic 104-Key Keyboard, Platinum",Computer Peripherals,20.95,29
3592,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Envelopes,23.99,26
3602,GBC Standard Therm-A-Bind Covers,Binders and Binder Accessories,24.92,24
3604,"80 Minute CD-R Spindle, 100/Pack - Staples",Computer Peripherals,39.48,7
3605,Xerox 1892,Paper,38.76,15
3641,Staples Paper Clips,Rubber Bands,2.47,49
3643,"Metal Folding Chairs, Beige, 4/Carton",Chairs & Chairmats,33.94,22
3644,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Computer Peripherals,8.33,31
3649,Computer Printout Paper with Letter-Trim Perforations,Paper,18.97,36
3658,Bush Mission Pointe Library,Bookcases,150.98,30
3666,Hon Olson Stacker Stools,Chairs & Chairmats,140.81,6
3688,Xerox 1929,Paper,22.84,12
3689,Home/Office Personal File Carts,Storage & Organization,34.76,20
3711,Avery 507,Labels,2.88,11
3716,i470,Telephones and Communication,205.99,26
3719,3M Organizer Strips,Binders and Binder Accessories,5.4,8
3720,"Imation 3.5 IBM Diskettes, 10/Box",Computer Peripherals,8.46,10
3721,"GE 4 Foot Flourescent Tube, 40 Watt",Office Furnishings,14.98,22
3722,300 Series Non-Flip,Telephones and Communication,155.99,48
3760,"Executive Impressions 13"" Chairman Wall Clock",Office Furnishings,25.38,1
3805,Micro Innovations 104 Keyboard,Computer Peripherals,10.97,48
3806,US Robotics 56K V.92 External Faxmodem,Computer Peripherals,99.99,11
3807,Fellowes Staxonsteel¨ Drawer Files,Storage & Organization,193.17,18
3808,Accessory39,Telephones and Communication,20.99,44
3821,Telescoping Adjustable Floor Lamp,Office Furnishings,19.99,3
3841,Canon MP41DH Printing Calculator,Office Machines,150.98,37
3860,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Storage & Organization,370.98,48
3861,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Telephones and Communication,179.99,16
3863,"Memo Book, 100 Message Capacity, 5 3/8Ó x 11Ó",Paper,6.74,32
3873,Belkin 6 Outlet Metallic Surge Strip,Appliances,10.89,32
3874,Xerox 21,Paper,6.48,19
3891,GBC DocuBind TL200 Manual Binding Machine,Binders and Binder Accessories,223.98,1
3892,"Sauder Forest Hills Library, Woodland Oak Finish",Bookcases,140.98,34
3914,Xerox 1940,Paper,54.96,1
3915,Bagged Rubber Bands,Rubber Bands,1.26,47
3929,Xerox 1897,Paper,4.98,31
3936,Poly Designer Cover & Back,Binders and Binder Accessories,18.99,19
3947,Bionaire Personal Warm Mist Humidifier/Vaporizer,Appliances,46.89,37
3948,"Acme¨ 8"" Straight Scissors","Scissors, Rulers and Trimmers",12.98,40
3952,Heavy-Duty E-Z-D¨ Binders,Binders and Binder Accessories,10.91,2
3963,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Paper,4.98,31
3992,Deluxe Rollaway Locking File with Drawer,Storage & Organization,415.88,2
4017,252,Telephones and Communication,65.99,15
4050,6160,Telephones and Communication,115.99,35
4051,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,5.02,10
4075,Prismacolor Color Pencil Set,Pens & Art Supplies,19.84,10
4082,Wilson Jones DublLock¨ D-Ring Binders,Binders and Binder Accessories,6.75,40
4118,Binder Posts,Binders and Binder Accessories,5.74,50
4119,Epson LQ-570e Dot Matrix Printer,Office Machines,270.97,49
4164,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases,260.98,22
4193,Fellowes PB300 Plastic Comb Binding Machine,Binders and Binder Accessories,387.99,49
4194,Rush Hierlooms Collection Rich Wood Bookcases,Bookcases,160.98,48
4202,Avery 481,Labels,3.08,11
4305,Sharp AL-1530CS Digital Copier,Copiers and Fax,499.99,35
4306,"SAFCO Commercial Wire Shelving, Black",Storage & Organization,138.14,44
4346,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Binders and Binder Accessories,41.94,17
4347,Self-Adhesive Address Labels for Typewriters by Universal,Labels,7.31,45
4362,StarTAC Series,Telephones and Communication,65.99,36
4369,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,7.64,27
4372,Dana Halogen Swing-Arm Architect Lamp,Office Furnishings,40.97,6
4390,Global Cometª Stacking Armless Chair,Chairs & Chairmats,299.05,21
4391,Hon 4070 Series Pagodaª Armless Upholstered Stacking Chairs,Chairs & Chairmats,291.73,3
4392,"Fellowes Internet Keyboard, Platinum",Computer Peripherals,30.42,5
4401,Deluxe Rollaway Locking File with Drawer,Storage & Organization,415.88,2
4404,Luxo Economy Swing Arm Lamp,Office Furnishings,19.94,4
4405,"*Staples* vLetter Openers, 2/Pack","Scissors, Rulers and Trimmers",3.68,31
4411,Staples 6 Outlet Surge,Appliances,11.97,26
4412,Acco Perma¨ 2700 Stacking Storage Drawers,Storage & Organization,29.74,34
4413,Fellowes Stor/Drawer¨ Steel Plusª Storage Drawers,Storage & Organization,95.43,23
4429,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Appliances,300.65,12
4430,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Computer Peripherals,45.19,42
4437,Lock-Up Easel 'Spel-Binder',Binders and Binder Accessories,28.53,14
4446,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Paper,5.68,15
4447,"Tenex File Box, Personal Filing Tote with Lid, Black",Storage & Organization,15.51,28
4459,Fellowes Black Plastic Comb Bindings,Binders and Binder Accessories,5.81,46
4460,Assorted Color Push Pins,Rubber Bands,1.81,41
4524,HP Office Paper (20Lb. and 87 Bright),Paper,6.68,4
4525,Staples Vinyl Coated Paper Clips,Rubber Bands,3.93,27
4532,Canon MP41DH Printing Calculator,Office Machines,150.98,8
4533,Newell 310,Pens & Art Supplies,1.76,15
4599,Kensington 7 Outlet MasterPiece Power Center,Appliances,177.98,19
4607,"DAX Metal Frame, Desktop, Stepped-Edge",Office Furnishings,20.24,8
4651,Bush Mission Pointe Library,Bookcases,150.98,41
4656,Accessory21,Telephones and Communication,20.99,3
4659,8860,Telephones and Communication,65.99,24
4687,Array¨ Memo Cubes,Paper,5.18,20
4688,"Fiskars 8"" Scissors, 2/Pack","Scissors, Rulers and Trimmers",17.24,19
4691,12 Colored Short Pencils,Pens & Art Supplies,2.6,11
4692,Pizazz¨ Global Quick Fileª,Storage & Organization,14.97,8
4738,Imation 5.2GB DVD-RAM,Computer Peripherals,60.98,4
4739,Acco Perma¨ 2700 Stacking Storage Drawers,Storage & Organization,29.74,25
4740,Portable Personal File Box,Storage & Organization,12.21,4
4746,"Snap-A-Way¨ Black Print Carbonless Speed Message, No Reply Area, Duplicate",Paper,29.14,13
4763,Ibico Covers for Plastic or Wire Binding Elements,Binders and Binder Accessories,11.5,31
4764,Hanging Personal Folder File,Storage & Organization,15.7,3
4765,Tennsco Double-Tier Lockers,Storage & Organization,225.02,47
4772,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Paper,9.27,14
4773,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut","Scissors, Rulers and Trimmers",6.84,5
4774,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,4.98,48
4775,PC Concepts 116 Key Quantum 3000 Keyboard,Computer Peripherals,32.98,13
4777,Epson Stylus 1520 Color Inkjet Printer,Office Machines,500.97,31
4803,Avery 494,Labels,2.61,13
4804,Self-Adhesive Address Labels for Typewriters by Universal,Labels,7.31,26
4805,Accessory37,Telephones and Communication,20.99,50
4812,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Binders and Binder Accessories,5.34,6
4820,Eureka Disposable Bags for Sanitaire¨ Vibra Groomer I¨ Upright Vac,Appliances,4.06,49
4821,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,Office Machines,99.99,18
4822,"Peel & Seel¨ Recycled Catalog Envelopes, Brown",Envelopes,11.58,27
4864,Cardinal Poly Pocket Divider Pockets for Ring Binders,Binders and Binder Accessories,3.36,5
4865,Canon PC1060 Personal Laser Copier,Copiers and Fax,699.99,19
4929,Sterling Rubber Bands by Alliance,Rubber Bands,4.71,31
4957,Newell 312,Pens & Art Supplies,5.84,39
4958,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Tables,218.75,28
5031,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",Computer Peripherals,15.98,23
5048,"Avery Flip-Chart Easel Binder, Black",Binders and Binder Accessories,22.38,45
5049,GBC Binding covers,Binders and Binder Accessories,12.95,47
5074,R280,Telephones and Communication,155.99,6
5075,Accessory9,Telephones and Communication,35.99,33
5138,U.S. Robotics 56K Internet Call Modem,Computer Peripherals,99.99,24
5139,Tennsco Industrial Shelving,Storage & Organization,48.91,24
5154,Staples Bulldog Clip,Rubber Bands,3.78,47
5236,"Micro Innovations Micro 3000 Keyboard, Black",Computer Peripherals,26.31,46
5275,"Fellowes Basic 104-Key Keyboard, Platinum",Computer Peripherals,20.95,3
5276,Xerox 1882,Paper,55.98,10
5277,Carina Double Wide Media Storage Towers in Natural & Black,Storage & Organization,80.98,18
5286,Portable Personal File Box,Storage & Organization,12.21,32
5312,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L","Scissors, Rulers and Trimmers",13.9,16
5325,Eldon Cleatmat¨ Chair Mats for Medium Pile Carpets,Office Furnishings,55.5,1
5472,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,5.28,47
5473,Hon 94000 Series Round Tables,Tables,296.18,20
5559,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Office Furnishings,92.23,29
5560,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Binders and Binder Accessories,1270.99,15
5569,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,122.99,40
5598,Poly Designer Cover & Back,Binders and Binder Accessories,18.99,31
5599,"Lifetime Advantageª Folding Chairs, 4/Carton",Chairs & Chairmats,218.08,41
5600,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Office Furnishings,20.24,6
5601,Stockwell Push Pins,Rubber Bands,2.18,30
5628,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,4.98,14
5659,8260,Telephones and Communication,65.99,10
5662,3390,Telephones and Communication,65.99,38
5675,"Global Deluxe Stacking Chair, Gray",Chairs & Chairmats,50.98,26
5676,Bevis 36 x 72 Conference Tables,Tables,124.49,36
5677,"Avery Flip-Chart Easel Binder, Black",Binders and Binder Accessories,22.38,16
5681,"Howard Miller 16"" Diameter Gallery Wall Clock",Office Furnishings,63.94,23
5719,"ACCOHIDE¨ 3-Ring Binder, Blue, 1""",Binders and Binder Accessories,4.13,3
5746,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,122.99,36
5764,"Wilson Jones Hanging View Binder, White, 1""",Binders and Binder Accessories,7.1,25
5790,Boston 1730 StandUp Electric Pencil Sharpener,Pens & Art Supplies,21.38,22
5791,Accessory31,Telephones and Communication,35.99,10
5792,Accessory8,Telephones and Communication,85.99,26
5802,Fellowes 17-key keypad for PS/2 interface,Computer Peripherals,30.73,29
5805,Hanging Personal Folder File,Storage & Organization,15.7,7
5835,Ibico Covers for Plastic or Wire Binding Elements,Binders and Binder Accessories,11.5,1
5877,Hoover Portapowerª Portable Vacuum,Appliances,4.48,45
5944,Fellowes Command Center 5-outlet power strip,Appliances,67.84,5
5945,SAFCO Arco Folding Chair,Chairs & Chairmats,276.2,31
6007,Accessory12,Telephones and Communication,85.99,15
